Poll_Source,Date,Democrat_s_,Republican_s_,Hypothetical_Race,Winner
FOX_News/Opinion_Dynamics_Poll_,"May_16-18,_2006_",Al_Gore_,Rudy_Giuliani_,Al_Gore_vs._Rudy_Giuliani_,Republican
NBC_News/Wall_Street_Journal_Poll_,"Apr_21-24,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Cook_Political_Report/RT_Strategies_Poll_,"Apr_6-9,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Mar_14-15,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Mar_14-15,_2006_",John_Kerry_,John_McCain_,John_Kerry_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Mar_14-15,_2006_",Al_Gore_,John_McCain_,Al_Gore_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Mar_14-15,_2006_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Mar_14-15,_2006_",Hillary_Clinton_,Dick_Cheney_,Hillary_Clinton_vs._Dick_Cheney_,Democrat
FOX_News/Opinion_Dynamics_Poll_,"Mar_14-15,_2006_",Al_Gore_,Dick_Cheney_,Al_Gore_vs._Dick_Cheney_,Democrat
Cook_Political_Report/RT_Strategies_Poll_,"Feb_23-26,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Diageo/Hotline_Poll_,"Feb_16-19,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
WNBC/Marist_Poll_,"Feb_13-15,_2006_",John_Kerry_,Rudy_Giuliani_,John_Kerry_vs._Rudy_Giuliani_,Republican
WNBC/Marist_Poll_,"Feb_13-15,_2006_",John_Kerry_,John_McCain_,John_Kerry_vs._John_McCain_,Republican
WNBC/Marist_Poll_,"Feb_13-15,_2006_",John_Kerry_,Condoleezza_Rice_,John_Kerry_vs._Condoleezza_Rice_,Republican
WNBC/Marist_Poll_,"Feb_13-15,_2006_",John_Edwards_,Rudy_Giuliani_,John_Edwards_vs._Rudy_Giuliani_,Republican
WNBC/Marist_Poll_,"Feb_13-15,_2006_",John_Edwards_,John_McCain_,John_Edwards_vs._John_McCain_,Republican
WNBC/Marist_Poll_,"Feb_13-15,_2006_",John_Edwards_,Condoleezza_Rice_,John_Edwards_vs._Condoleezza_Rice_,Democrat
WNBC/Marist_Poll_,"Feb_13-15,_2006_",Al_Gore_,Rudy_Giuliani_,Al_Gore_vs._Rudy_Giuliani_,Republican
WNBC/Marist_Poll_,"Feb_13-15,_2006_",Al_Gore_,John_McCain_,Al_Gore_vs._John_McCain_,Republican
WNBC/Marist_Poll_,"Feb_13-15,_2006_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
WNBC/Marist_Poll_,"Feb_13-15,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
WNBC/Marist_Poll_,"Feb_13-15,_2006_",Hillary_Clinton_,Condoleezza_Rice_,Hillary_Clinton_vs._Condoleezza_Rice_,Democrat
FOX_News/Opinion_Dynamics_Poll_,"Feb_7-8,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Feb_7-8,_2006_",John_Kerry_,John_McCain_,John_Kerry_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Feb_7-8,_2006_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Feb_7-8,_2006_",John_Kerry_,Rudy_Giuliani_,John_Kerry_vs._Rudy_Giuliani_,Republican
Diageo/Hotline_Poll_,"Jan_12-15,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
